ITEMS with name,return_loc,desc:
[243]string LocKey = "collection_items_azkabanescapee_name"
string LocValue = "Azkaban Escapee"
[244]string LocKey = "collection_items_azkabanescapee_return_location"
string LocValue = "Azkaban Prison"
[245]string LocKey = "collection_items_azkabanescapee_description"
string LocValue = "Escape from Azkaban Prison is incredibly rare because many prisoners go insane from being guarded by Dementors. The constant drain on their happiness by their guards sucks the will to escape from their very being."
[246]string LocKey = "collection_items_babynorwegianridgeback_name"
string LocValue = "Baby Norwegian Ridgeback"
[247]string LocKey = "collection_items_babynorwegianridgeback_return_location"
string LocValue = "Romanian Dragon Sanctuary"
[248]string LocKey = "collection_items_babynorwegianridgeback_description"
string LocValue = "Native to Norway, young Norwegian Ridgebacks develop the skill to breathe fire earlier than any other dragon breed. Hagrid illegally hatched a baby Norwegian Ridgeback, Norberta, who was eventually raised in a dragon sanctuary."
[249]string LocKey = "collection_items_buckbeak_name"
string LocValue = "Buckbeak"
[250]string LocKey = "collection_items_buckbeak_return_location"
string LocValue = "Rubeus Hagrid"
[251]string LocKey = "collection_items_buckbeak_description"
string LocValue = "Buckbeak was a Hippogriff saved by Harry Potter from an unfair execution. Buckbeak was instrumental in enabling Sirius Black to escape the Dementors and leave Hogwarts."
[252]string LocKey = "collection_items_executioner_name"
string LocValue = "Ministry Executioner"
[253]string LocKey = "collection_items_executioner_return_location"
string LocValue = "British Ministry of Magic"
[254]string LocKey = "collection_items_executioner_description"
string LocValue = "Ministry Executioners are tasked with executing magical creatures that have been deemed too dangerous by the Ministry of Magic. Walden Macnair, a ministry executioner was famously tasked with the execution of Buckbeak the Hippogriff."
[255]string LocKey = "collection_items_fawkes_name"
string LocValue = "Fawkes"
[256]string LocKey = "collection_items_fawkes_return_location"
string LocValue = "Albus Dumbledore"
[257]string LocKey = "collection_items_fawkes_description"
string LocValue = "Fawkes the phoenix played a key role in helping Harry Potter defeat Slytherin's Basilisk in the Chamber of Secrets. Fawkes was a long time companion of Albus Dumbledore's - mysteriously disappearing after Dumbledore's death."
[258]string LocKey = "collection_items_goldensnitch_name"
string LocValue = "Golden Snitch"
[259]string LocKey = "collection_items_goldensnitch_return_location"
string LocValue = "The Chudley Cannons"
